PROVIDER NUMBER,PROVIDER NAME,ADDRESS,Phone No
3498,CARE HOSPITAL PHARMACY (ALAIN), - ,009713 - 7552291
3635,BOOTS AL AIN MALL PHARMACY (ALAIN),"Al Ain Mall, Shop No F29B, First Floor, Near Mega Mart, Al Ain - ",009713 - 7849471
3636,BOOTS BAWADI MALL PHARMACY (ALAIN),"Bawadi Mall, Unit #G22, Al Ain - ",009713 - 7840027
3637,BOOTS TAWAM PHARMACY (ALAIN),"Tawam Hospital, Foyer, Main building, near Horse roundabout, Sheikh Khalifa Street, Al Ain - ",009713 - 7673035
3743,MEDICLINIC PHARMACY  LLC BR-1(AL AIN),"Al Khrair, Al Ain- Bawadi Mall (same building as Union National Bank) Zayed Bin Sultan Street (# 137) - ",009713 - 7012509
3955,HOME HEALTH PHARMACY (AL AIN),"FIRST SAFEER MALL, AL KHABEESI ROAD,AL AIN,UAE - ",03-7630025
4281,GOLDEN LIFE PHARMACY (LLC) (AL AIN),"Shop G578, Ground floor, Al Ain Mall. Al Ain - ",03-7221676
4436,ULTRA MEDICAL CENTER PHARMACY (AL AIN),"Al Ain, Jimi Area, Street 2,Building 2 - ",03 762 5552
4606,MEDICLINIC PHARMACY AL AIN BRANCH 3 (AL AIN),"Civic Center, Al Ain, UAE P.O. Box 14444 - ",03-7051781
4631,MEDICINA PHARMACY- BRANCH 8(AL AIN),"AFCOOP, Shab Alashkar, Al Ain - ",03 7664715
5189,BURJEEL FARHA PHARMACY LLC (AL AIN),"Bida Bin Ammar, Asharej, Land Mark- Markhania Mall Oppsite Inside Line, Al Ain - ",+97137099000
5191,BURJEEL PHARMACY-BARARI MALL LLC(AL AIN),"USF-01,02 Barari Outlet Mall ,137th Street, Mezyad, Al Ain - ",037991533
5323,AL MADAR MEDICAL CENTER PHARMACY LLC(ALAIN),AL KHABISI OPPOSITE HAZZA BIN ZAYED STADIUM AL AIN - ,037138609
5325,MEDICLINIC PHARMACY ALAIN BRANCH 5(AL AIN),"AL KHABISI, OPPOSITE HAZZA BIN ZAYED STADIUM, AL AIN - ",037138600
5665,BURJEEL ROYAL PHARMACY(AL AIN),"PLOT NO. 18-06-006-004 DOWN TOWN COMMERCIAL & RESIDENTIAL CENTER, AL AIN - ",+971-3-7991111
6232,MEDICINA PHARMACY BRANCH 12 (AL AIN),"Gf Shop #4 Al Baladiyya St., Al Jimi Area, Al Ain, UAE - ",03-755 5957
6274,AL MAGD CENTER PHARMACY �SOLE PROPRIETORSHIP LLC(AL AIN),"Al Sanaya, Behind Al Masood Motors, Building Number 5, Al Ain - ",037216406
6440,CURE PLUS PHARMACY (AL AIN),"Al Sidrah St Al Khabisi Villa 78, Al Ain - ",03 765 5511
6504,HEALTH FIRST PHARMACY BRANCH 1 (AL AIN),"Al Muhairi Group Building,Shop No 4,Central District,Town Center,Main Street, Near (Snow White),Al Ain - ",03-7662131/03-7679905
6509,HEALTH FIRST PHARMACY BRANCH 11 (AL AIN),"Souq Extra Mall,Ground Floor,Shop No 10, Al Bateen 1,Al Bateen,AlAin - ",03-7804288/03-7820779
6512,HEALTH FIRST PHARMACY BRANCH 14 (AL AIN),"Shop No F14,Zayed Bin Sulthan Street,Zahir 4,Barari Outlet Mall, Al Ain - ",03-7675176/03-7611163
6754,NEW LOOK MEDICAL CENTER PHARMACY - SOLE PROPRIETORSHIP L.L.C.(AL AIN),"Villa 1, Flat 89, Street No:12, Al-Saffron, Khabisi, Al Ain - ",+971 37633345
6756,TRUE LIFE PHARMACY - SOLE PROPRIETORSHIP L.L.C. (AL AIN),"Mohamed Thaaloob Salem Hamad Alderei Bldg., Peace Division, 122: Khalifa Bin Zayed 1st St. - ",+971 37854443
6759,NAZEK PHARMACY - SOLE PROPRIETORSHIP L.L.C. (AL AIN),"Villa 25, 18 Street, Markhanayah, Near Al Ain Ladies Club Al Ain, Abu Dhabi - ",+971 37550009
7050,REVITAL REHABILITATION HOSPITAL IMPATIENT PHARMACY (AL AIN),"Al Towwash St, Al Foah, - ",+971 37144444
7051,LAN CASTER PHARMACY - SOLE PROPRIETORSHIP L.L.C (AL AIN),"Towwash Street, Al Foah - ",+971 37320016
3474,COSMESURGE & EMIRATES CLINICS FOR ONE DAY SURGERY L.L.C. BRANCH 2 (AL AIN),Al Jimi Area - Mohammed Basheer Hussein Basheer Al  Shaffa Building - ,009713 - 7620022
1236,CANADIAN SPECIALIST HOSPITAL-DEIRA(DUBAI),"DEIRA BRANCH,DUBAI - ",direct no 009714 - 7072895
2057,AL GARHOUD PRIVATE HOSPITAL (DUBAI),"Opposite DHL Head Office,Al Garhoud Area, - ",receivablesgph@hmsco.ae (NEW)
2058,AMERICAN ACADEMY OF COSMETIC SURGERY HOSPITAL (AACSH) FZ-LLC (DUBAI),"Building No. 73, Umm Hurair 2, PO Box 505099, Dubai Healthcare City - Dubai, United Arab Emirates",09714 - 4237600
2314,MEDCARE ORTHOPAEDICS AND SPINE HOSPITAL(DUBAI),"Sheikh Zayed Road, After 2nd Interchange ,Jumeirah Dubai - ",009714 - 3768400
2330,SAUDI GERMAN HOSPITAL  (DUBAI),"Opp to American School of Dubai, Intersection of Al Mafraq Road (316) and Hessa Street (331),Al Barr - ",009714 - 3890000
3021,AL ZAHRA (PVT) HOSPITAL DUBAI (LLC) (DUBAI),"P.O Box 124412, Sheikh Zayed Road , Al Barsha 1 - Dubai, United Arab Emirates",97143786666
3438,PRIME HOSPITAL LLC (DUBAI),"Beside Le Meridian Hotel, Casablanca Street, Dubai Airport Road, Al Garhoud, - ",009714 - 2929777
3440,NMC ROYAL HOSPITAL LLC (DUBAI),"Falcon House - Plot no #598/122,Dubai Investments Park 1,Behind - Dubai - ",009714 - 8108800
3532,THUMBAY HOSPITAL LLC (DUBAI),Thumbay hospital Dubai Behind Lulu Supermarket  Al Qusais. - ,+971 4 2985555
3594,ASTER HOSPITAL MANKHOOL(DUBAI),"Next to Sharaf DG, Kuwait Street, Mankhool Area, Bur Dubai, - ",009714 - 3814800
3596,MEDEOR 24X7 HOSPITAL LLC (DUBAI),"Embassy District,Sheikh Khalifa Bin Zayed Street ( D 88 ),Umm Hurair - 1, - ",009714 - 3500600
3796,DR. SULAIMAN AL HABIB HOSPITAL FZ-LLC (DUBAI),"Bldg #27, Block A, 4TH Floor,Oud Metha Road, Dubai Healthcare City, - ",009714 -4297777
4001,RASHID HOSPITAL (GOVERNMENT-DHA),"Oud Metha Road, Umm Hurair Second Dubai, United Arab Emirate - See more at: http://mymd.ae/detail/37 - ",04-2191040
4024,LATIFA HOSPITAL (GOVERNMENT-DHA),"Oud Metha Road, Al Jaddaf - Dubai - ",04-2195612 / 5617
4035,MEDCARE WOMEN & CHILDREN HOSPITAL(DUBAI),"NEAR NOOR ISLAMIC BANK, AL SAFA 2 - ",04-403010888
4052,DUBAI HOSPITAL (GOVERNMENT-DHA),"Al Khaleeja Street,Al Baraha - Dubai - ",04-2195612 / 5617
4402,HATTA HOSPITAL (GOVERNMENT-DHA),"Hatta Hospital. Hatta, Dubai, Near Dubai Women's Association - ",04- 8147483
5086,EMIRATES SPECIALITY HOSPITAL FZ-LLC (DUBAI),"Building Number 62, Dubai Healthcare City, Dubai - ",04-2484500
5207,IRANIAN HOSPITAL DUBAI (DUBAI),"Al Wasl Road, Jumeira � 1, Dubai, UAE - ",04 344 0250
5969,ASTER HOSPITAL AL QUSAIS(DUBAI),"9 A Street, Al Qusais Industrial Area 2, Opp. to Madina Mall, Al Qusais, Dubai - ",04 3766888
6016,ADAM VITAL HOSPITAL L.L.C (DUBAI),"Building No.11, 10th Street, Al Garhoud, GGICO Metro Station, PO Box 624648 - Dubai, United Arab Emirates",+97142068999
6257,ASTER HOSPITAL SONAPUR LLC (DUBAI),"Algeria Street, Muhaisnah, Sonapur, Dubai - ",+9714 4400500
6434,CLEMENCEAU MEDICAL CENTER FZ-LLC (DUBAI),"Building 22, PO Box 112693, DHCC Phase 2, Al Jadaf, Dubai - ",04-2481111
6804,NMC SPECIALTY HOSPITAL DIP (Br of N M C ROYAL HOSPITAL LTD)(Dubai Branch) (DUBAI),"Plot NO. 598-639, In Front Of Green Community, Near Emicool Head Office, DIP 1, Al Zarouni Building - ",04 8019129
744,EMIRATES HOSPITAL JUMEIRAH(DUBAI),"Jumeirah 2, Jumeirah Beach Road - ",00971-4-5904999
756,ZULEKHA HOSPITAL (DUBAI),Opp Al Nahda Park - 204th Rd - Dubai - ,0097142678866
757,NMC SPECIALTY HOSPITAL (DUBAI),"7 A St, Al Qusais, Al Nahda 2, Next to Bait AL Khair Building - Dubai - ",009714 2679999
758,ASTER CEDARS HOSPITAL JEBEL ALI (DUBAI),"CEDARS JEBEL ALI INTERNATIONAL HOSPITAL DUGAS ROAD,  P.O Box: 119428 JEBEEL ALI - 1 - ",009714 8814000
759,DUBAI LONDON CLINIC HOSPITAL - JUMEIRAH (DUBAI),"Jumeriah Beach Road, Umm Suqeim 2 - Dubai, United Arab Emirates",043782999
760,INTERNATIONAL MODERN HOSPITAL (DUBAI),"Sheikh Rashid Road, Al Rafa�a Area, Bur Dubai - ",9714 398 8888
868,NEURO SPINAL HOSPITAL (DUBAI),"Umm Suqeim street, Al Barsha, Al Barsha South, PO Box 71444, Dubai Science Park - Dubai, United Arab Emirates",04-5730700
917,MEDCARE HOSPITAL LLC (DUBAI),"Opp. Safa Park Gate No. 1, Jumeirah, Dubai - ",009714 4079100
1038,KARAMA MEDICAL CENTER (DUBAI),"3RD FLR, SONY SHOWROOM, KARAMA, DUBAI - ",8007400
1056,UNION MEDICAL CENTER -MOOPENS (DUBAI),"Opp:Wall Street Exchange, Iranian School Road, Karama, Dubai - ",9714-3978828
1057,ALRAFA POLYCLINIC -GARDENS(MOOPENS)DUBAI,"The Gardens Jebel Ali, - ",+9714-8824470(AL-RAFA POLYCLN-(BR)GARDEN
1058,MOOPENS ALQUOZ MEDICAL CENTER (DUBAI),"Industrial Area 1, Near Old Grand Mall, Al Qouz, Dubai, U A E - ",009714-3387871
1074,JEHAD INTERNATIONAL MEDICAL CLNIC (DUBAI),"Sheikh Zayed Road, Crown Plaza Commercial Tower, 7th floor- 706 , R/A Wall Trade Centre - ",9714 3311773
1084,ALSHAAB MEDICAL CENTRE -(MOOPENS-DUBAI), - ,9714-297 0870
1093,PRIME MEDICAL CENTRE JUMEIRAH(DUBAI),"AL FEDOUS 1, AL WASL ROAD, DUBAI, UAE - ",009714-3494545
1094,PRIMECORP   MEDICAL CENTER LLC (DUBAI),"AL ROSTAMANI AREA, ROAD #9, BEHIND NATIONAL CEMENT FACTORY, SL SHAFAR NATIONAL BLDG, AL QUOZ, DUBAI - ",009714- 3397548
1095,PRIME MEDICAL CENTRE SHEIKH ZAYED ROAD (DUBAI),"IBRI HOUSE, MEZZANINE & GROUND FLOOR, SHEIKH ZAYED ROAD, DUBAI, UAE - ",9714 338 9389 (SHEIKH ZAYED ROAD)
1102,ULTRACARE MEDICAL GROUP (DUBAI),"311, Floor 3, Yousif Al Otaiba, Al-Diyafa Road, PO Box 183485 - Dubai, UnitedArab Emirates",45487001
1106,BLUE TREE CLINICS L.L.C (DUBAI),"Villa 967, 270 Fardan Villas, Al Wasl Road, PO Box 75629, Jumeirah - Dubai, United Arab Emirates",009714-3488262
1127,AL WARQA MED CENTRE (MOOPENS)DUBAI,warqa - ,009714-2800899
1146,PHYSIOCARE FZ LLC (DUBAI),"Unit 1008, First Floor, Building 64, Al Razi Street, Block A, PO Box 505104 - Dubai, United Arab Emirates",971 (0) 4-298560
1153,AL MANSOOR MEDICAL CENTER(DUBAI),"101 AL Moosa Building , Musallah Road , Bur Dubai - ",009714-3554040
1156,NASSER CLINIC (DUBAI),DUBAI - ,009714 2631316
1167,NEW APOLLO POLYCLINIC (DUBAI),"Suite No. 101, Karama Center, Kuwait Street, Near Lulu Supermarket, Karama - ",009714-3379040
1169,MEDCARE MEDICAL CENTRE-MIRDIFF-( DUBAI ),"Al barajel oasis complex building, Road No.47, Mirdiff - ",009714-2847199
1170,UNICARE MEDICAL CENTRE (DUBAI),"Ground Floor, Next to Filli Cafe, Burjuman Centre, Bur Dubai, Dubai - ",009714-39988567
1171,AWAAM MEDICAL CENTRE (DUBAI),DUBAI - ,009714-3201300
1172,ABBARA POLYCLINIC (DUBAI),DUBAI - ,009714-2685333
1176,AXON MEDICA POLYCLINC-RASHIDIYA(DUBAI),"Ground Floor, Union Co-op Building, PO Box 62451, Rashidiya - Dubai, United Arab Emirates",43484992
1183,SIRAJUDEEN MEDICAL CENTRE (DUBAI),"First Floor, SMC Building, 45B Street, Block No.1, PO Box 2696, Al Karama - Dubai, United Arab Emirates",9714 - 334 5955
1185,FIRST MEDICAL CENTRE L.L.C (DUBAI),"7th Floor, Heirs of Hamad, Ali Hamad Buhaleeba, Al Murqabat, PO Box 126535, Dominos Plaza Building, Deira - Dubai, United Arab Emirates",97142976868
1189,MODERN FAMILY  CLINIC (DUBAI),"# 10 , Ummhurair Building (near GPO) Zabeel Road, Karama - ",+9714-3343263( MODERN FAMILY CLINIC)
1202,BETTER LIFE CLINIC LLC (DUBAI),"ALTAWHID BLDG2,NEAR RAMADA HOTEL, BUR DUBAI - ",+9714 - 3592255(Specialist Internal Medi
1218,NAIF MEDICAL CENTRE ( DUBAI ),"Opp: white house carpet, Hussain lootah building, First Floor, Flat 104, Deira - ",+9714 - 2716224
1223,AMERICAN MEDICAL & DENTAL CENTRE (DUBAI),"Al Razi Medical Complex Building 64 Block A, First Floor Clinic 1002, Dubai Healthcare City - ",+9714- 3748428
1226,VISTA HEALTH CARE CLINIC (DUBAI),"3, SULTAN BUSINESS CENTER, ADJACENT TO LAMCY PLAZA, PO Box 112167, OUD MEHTA - ",+9714-3344223
1249,HEALTH CALL FZ LLC (DUBAI),"IBN SINA BULDING #27, Block B 5th Floor, Dubai Health care city - ",009714-3635343
1251,MEDICENTRES POLYCLINIC (DUBAI),"Block F, Uptown Motorcity, Dubai - UAE - ",009714-360 8866(MEDICENTRE POLYCLINIC)
1252,SYMBIOSIS HEALTHCARE-DHCC (DUBAI),"Unit 203, Block A, Ibn Sina Buildingm, Dubai Healthcare city - ",009714-3624955
1256,THE GENERAL MEDICAL CENTRE1 BR OF GMC HEALTHCARE LLC (DUBAI),"Magrudys Mall,Ist Floor, Jumeriah beach road - ",+9714-3494880 /4479800/04 344 9150
1257,THE GENERAL MEDICAL CENTRE1 BR OF GMC HEALTHCARE LLC TECOM BR (DUBAI),"3rd Floor, #301, Tameem House , TECOM - ",+9714-5676888
1261,GMC-GREEN COMMUNITY BRANCH -(DUBAI),"The Market Shopping Mall, 1st floor ,Green Community,investment park,dubai - ",+9714-8853225 / 8853226
1262,GMC-TRADE CENTRE APTS BRANCH (DUBAI),"1st Floor,Trade Centre Appartment, Block-A , Apt:205 - ",+9714-3313544
1268,GARDEN'S MEDICAL CENTRE PLUS (DUBAI),"Zen Cluster, Bldg no: 9Discovery Gardens - ",+9714-4489151
1269,DR.KOYA'S CLINIC -MOOPENS(DUBAI), - ,+9714-2225854 / 2232321
1270,ASTER MEDICAL CENTRE REMRAAM (BR OF D M HEALTHCARE (L L C)( (DUBAI),"REMRAAM COMMUNITY CENTRE, GROUND FLOOR-FLAT RETAIL 08, RERAAM , NEAR GEANT SUPERMARKET - ",+9714-3333423
1271,AL RAFA POLYCLINIC(BR) INT'L CITY (DUBAI,"International City Branch, V-20, Russia Cluster - ",+9714-4227944
1272,DR.MOOPENS POLYCLIN-ALMUTEENA DEIRA PLUS (DUBAI),"Opp: Al futtaim mosque, naif road, Deira - ",+9714-2289169
1296,ASTER MEDICAL CENTRE-QUSAIS (DUBAI),"Damascus street, Al Fattan Building, AL Qusais - ",+9714-2576333
1309,EMIRATES INTEGRATED MEDICAL CENTRE (DUBAI),"Flat no: 406, Block B, 4th Floor, Ibn Sina Bldg, Dubai Healthcare City - ",+9714-3624740
1316,DR.MOOPENS MEDICAL CEN-KARAMA BR (DUBAI),"Al Sherouq Building, Shop no 1, Ground floor, Karama, Dubai - ",+9714- 337 4767
1327,AL DIYAFA MODERN MEDICAL CENTER (DUBAI),"2nd Floor, Flat no: 211,212, Above Sedar Showroom Bldg, AlDiyafa Road, Satwa - ",+9714-3454945
1348,GERMAN NEUROSCIENCE CENTER DHCC(DUBAI),"2nd Floor, Building No 64, Al Razi Building, PO Box 505174, Dubai Healthcare City - Dubai, United Arab Emirates",+9714-4298578
1357,WELLBEING MEDICAL CENTER (DUBAI),"VILLA NO: 1146, NEAR CHOITHRAM SUPERMARKET, UM SEQUIM 2, AL WASL - ",+9714-3484406 (CHIROPRACTOR CLINIC)
1361,GETWELL MEDICAL CENTER (DUBAI),"2ND FLOOR, FLAT NO: 201, GETWELL BLDG, (ALKHOURY BLDG) NEAR RBS BANK - ",+9714-3595935
1384,DR. FATHI EMARA MEDICAL  POLYCLINIC (DUBAI),"2nd Floor, Al asheera pharmacy bldg,Opp: Sheraton Hotel Deira, Madina Road, Deira - ",+9714-2666775 (NAME CHANGE>DR.SABAA M.C)
1386,COSMOPOLITAN MEDICAL CENTER BUR DUBAI( DUBAI),"Mezzanine flr,Abdu.H M Fadhlani Bldg, Next to Astoria Hotel, opp: Sharaf Digtl,Fahidi strt, Bur Dubai - ",+9714-3532224
1410,AFIF MEDICAL CENTER (DUBAI),"Flat no: 111, 1st Floor, Yousuf Al Otaiba Bldg, Above Emirates Islamic Bank & Beirut Resturant,diyfa - ",+9714-3254082
1467,N9NE MEDICAL INSTITUTE (DUBAI),"Unit 1028, First Floor, Block E, Al Razi Building #64, Dubai Healthcare City - ",+9714-4499944
1470,DRS. NICOLAS & ASP CENTRE-MARINA WALK(DUBAI),"Mesk Tower Emmar Building, Marina Walk, Dubai, UAE - ",+9714-3609977
1472,DRS. NICOLAS & ASP CENTRE-JBR REMAL(DUBAI),"NSPV-Ff-27, The New Springs Village, Emirates Hills, Unnamed, Dubai - ",+9714-4364077
1514,HEALTH FAMILY CLINIC (DUBAI),"Al Kifaf Commercial Building, 3rd Floor, 309, Sheikh Khalifa Bin Zayed Street, PO Box 26717, Karama - Dubai, United Arab Emirates",+971 4 -396 0034
1515,EMIRATES HOSPITALS AND CLINIC LLC BRANCH-DUBAI MARINA(DUBAI),"Al Habtoor Business Center, 27th Floor,Opposite to Al Habtoor Grande Hotel 

,Dubai Marina - ",+9714-4471777
1565,MEDCARE MEDICAL CENTRE-JUMEIRAH ( DUBAI),"Umm Suqeim 1, Jumeirah Beach Road, Near to Umm Suqeim Muncipality office - ",009714 - 3953115
1572,MEDCARE MEDICAL CENTER-MIRDIF CITY CENTER(DUBAI),"Unit 350, Central Galleria, East walk, Near Community centre Mirdif City Centre - ",+9714-2840722
1574,PRIME MEDICAL CENTER BUR DUBAI (DUBAI),"3rd Floor, Burjuman Center, Khalid Bin Al Waleed Road, BUR DUBAI, DUBAI, UAE - ",+9714-3570033
1613,DR. BATRA'S HOMEOPATHIC CLINIC FZ LLC,"Al Razi Medical complex,Block F,Unit 2036,Dubai Healthcare city - ",009714  - 4343981
1636,AL RAFA POLYCLINIC BR PLUS (TECOM)DUBAI,"Byblos Hotel, Icon Tower - Barsha Heights - ",009714  - 4534830
1706,OPEN MRI FOR  SPINE SURGERY(DUBAI),"DUBAI, UAE. JUMEIRAH BEACH ROAD - ",009714 -3422120
1782,DR. JOSEPH'S POLYCLINIC KARAMA (DUBAI),ABOVE AL MANKHOOL PHARMACY-KARAMA - ,009714 -3378828
1783,JOSEPH'S QUSAIS POLYCLINIC GHI (DUBAI),TALAL SUPERMARKET BUILDING - ,009714 - 2636767 EXT 216
1821,AL TAIE CENTRE FOR LAPAROSCOPIC & OBESIT,DUBAI - ,009714 -  3421999
1822,AL WAHA CLINIC L.L.C  (DUBAI),"Flat 105, First Floor, Mohd.Noor Taleb Building, Khalid Bin Waleed Road, PO Box 6088, Bur Dubai - Dubai, United Arab Emirates",009714 - 3514150
1850,DR. KEERTHI  CLINIC (DUBAI),"Flat 110, 1st Floor,Al Attar Shopping Mall,Next to Karama Center, - ",009714 - 3344356
1851,MEDWIN MEDICAL CENTRE (DUBAI),DUBAI - ,009714 - 3955044
1852,NEW MEDWIN MEDICAL CENTRE (DUBAI),DUBAI - ,009714 - 2266101
1888,PANACEA MEDICAL&WELLNESS CENTRE (DUBAI),"201, Easa Saleh Al Gurg Building(Dunlop),Umm Hurair, Khalid Bin Al Waleed, Al KArama - Dubai, United Arab Emirates",009714 - 3582020
1889,ILLINOIS POLYCLINIC (DUBAI),DUBAI - ,009714-3499977 (MARRY)
1899,OCCUPATIONAL HEALTH INTERNATIONAL(DUBAI),"1ST FLOOR, RIGGA BUSINESS CENTER, AL RIGGA ROAD - ",009714 - 2306429 / 2306410
1901,ASTER JEBEL ALI MEDICAL CENTER-(DUBAI),"Mezzanine Floor,NESTO Hyper Market, Industrial Area 1, Jebel Ali, Dubai, U A E - ",009714 - 8841161/62
1904,GULF MEDICAL CENTRE (DUBAI),"Near DNATA building, Al Ittihad Street, Port Saeed, Deira - ",009714 - 2626000
1910,FAKIH IVF LLC  (DUBAI),"Villa 37, 65b St, Al Wasl Rd, Jumeirah 1,DUBAI - ",009714 - 3497600 /3442400
1918,SULTAN AL OLAMA MEDICAL CENTER(DUBAI),DUBAI - ,009714 - 2845778
1919,SULTAN AL OLAMA MEDICAL CENTER BR(DUBAI),DUBAI - ,009714 - 3468686
1928,ELITE MEDICAL CENTRE ( DUBAI),"Near Jumeirah Plaza,Jumeirah Beach Road,Jumeirah, - ",009714 - 3495363
1934,AL BIRAA ARTHRITIS & BONE CLINIC (DUBAI),"Villa #1029,Opposite Choithram Supermarket,Al Wasl Road, Al Manara, - ",009714- 3487031/+971 4 384 5800
1937,AMBER CLINIC-RIGGA GHI LLC  (DUBAI),"2ND FLOOR,RIGGA BUSINESS CENTER- RIGGA ( DUBAI) - ",042309169
1948,FIRST CARE CLINIC (DUBAI),"Near Al Mulla Plaza, Opposite Grand Station,Al Waheeda Street, Al Mamzar, - ",009714 2398826
1964,SPECIALIST MEDICAL CENTRE (DUBAI),"Villa 1114,Al Wasl Road,UMM Suqaim 2, - ",009714-3486616
1965,DR.KAYASSEH MEDICAL CLINIC-(DUBAI),"3rd Floor, Flat #304,Al Otaiba Center,Jumeirah Road, Al Dhiyafa, - ",009714-3985010
1967,DR. JOSEPH GHRAYEB POLYCLINIC (DUBAI),"Zabeel Building, 1st Floor, Flat #110, Um Hurair Road, Near Karama General Post Office, Dubai - ",+9714 3376377
1985,HARLEY INTERNATIONAL CLINIC (DUBAI),"First Floor, Nashwan Building, Al Mankhool, PO Box 34801, Near Dubai Library - Dubai, United Arab Emirates",43989988
2039,AL RAZI POLYCLINIC (DUBAI),"1st Floor, Al Owais Bldg,Above KFC & Hardees RestaurantAl Riqqa, Deira,, - ",009714 -2282814
2059,ORCHID REPRODUCTIVE & ANDROLOGY  (DUBAI),"Block A, Unit 3002,Al Razi Bldg 64,District 1, DHCC, - ",009714 -4377520
2070,ASTER MEDICAL CENTRE BUS BAY PLUS DUBAI,"Ground Floor, Aspect Tower- D , Business Bay  at the Bay Avenue - ",009714 - 4508896
2075,MEDGATE CENTRE (DUBAI),"Villa 671, Jumeirah Beach Road, PO Box 126982, Umm Suqeim 2 - Dubai, United Arab Emirates",009714 -3952575
2076,LIFE MEDICAL CENTRE DMCC (DUBAI),"Fortune Executive Tower, Floor No.1203, 12th Floor, Al Sarayan Street, PO Box 49508, JLT - Dubai, United Arab Emirates",044539633
2087,MEDCARE MEDICAL CENTRE  JBR BR (DUBAI),"Opp Al Safa Park, Gate No I, Jumeirah, Dubai. - ",009714-4079100
2161,ASTER AL NAHDA CLINIC (DUBAI),"Amman Street, Opposite NMC Specialty Hospital, Al Nahda, Dubai. - ",009714 - 2399119
2196,WESTERN MEDICAL CENTRE (DUBAI),"Villa NO: 2, Al Badaa,Near Iranian Hospital, Al Wasl Road, Jumeirah 1, - ",009714 -3855655
2198,GHODOUSI MEDICAL CENTRE  (DUBAI),"B-211, Baniyas Complex Bldg 6,Opposite Choitram Supermarket &Baniyas Metro Station, Nasser Square - ",009714 - 2211191
2200,AL SHAAB CLINIC  (DUBAI),"Flat #4, Al Shamsi Bldg,  Above Migna's Jewellery,Opposite Gold Souk Bus Station,Deira - ",009714 - 2269828
2201,THE LAKES  CLINIC  (DUBAI),"1807, HDS Tower, Jumeirah Lakes Tower, Near JLT Metro Station, - ",009714 - 4534848
2209,DR. TAZYEEN GYNAE & POLYCLINIC L  (DUBAI),"Office 806, Detroit House Building, Motor City, PO Box 450095 - Dubai, United Arab Emirates",009714 -3746922
2211,DR MAZEN PEDIATRIC SPECIALITY CLI (DUBAI),"Office 805, Detroit House Building, Motor City, - ",009714 - 3746862
2303,GOOD LIVING MEDICAL CENTRE (DUBAI),"M12 -13, Block B,Sheikh Hamdan Award Complex, Al Mina Road, Opp Union Flag,Next to Capitol Hotel, Ju - ",009714 - 3546060
2305,DR. SHANIL MEDICAL CENTRE L.L.C (DUBAI),"C - 12, S - 1, China Cluster,Behind Dragon Mart, International City, - ",009714 - 4308384
2306,KAMILIA POLYCLINIC (DUBAI),"TECOM, DAMAC Executive Heights Building 9th Floor Unit 909, - ",009714 - 4508900
2308,GET ON TRACK PHYSIOTHERAPHY AND REHABILITATION CENTER (DUBAI),"Villa 94, 15C Street, Al Mejadmi Street, Al Wasl Road, PO Box 38492 Umm Suqueim 3 - Dubai, United Arab Emirates",009714 3805569
2309,EURO STANDARD MED CENTRE-DUBAI,"ZOMORRODAH BUILDING, BLOCK B,36B,UMM HUREIR ROAD,BURDUBAI,DUBAI,UAE - ",009714 - 3352233
2319,DR. MADIHA AL HADDAD CLINIC (DUBAI),"2nd Floor, Flat No: 312,  Emirates Islamic Bank Bldg, 2nd December Street - ",009714 - 3254484
2329,ROYAL MEDICAL CENTRE  (DUBAI),"Villa No: 170, Opp side of Al Ghazal Mall - Carrefour Market, - ",009714 - 3456780
2331,GLOW MEDICAL & DENTAL CENTRE  LLC (DUBAI,"Level 101, Room 103, ARENCO Tower,Next to American University of Dubai & Nakheel Metro Station,  Dub - ",009714 - 4561946
2339,KIMS MEDICAL CENTRE LLC(DUBAI),"Next to Abu Baker Al Siddique Metro Station, Al Muraqqabat, Deira - ",009714 - 2624500
2395,MEDHEALTH MEDICAL CENTRE FZCO  (DUBAI),"In front of Jafza Employees Quarters, Jebel Ali Free Zone - Jafza South, - ",009714 - 8809900
2396,SULTAN AL OLAMA MEDICAL CENTER ETIHAD MALL BR(DUBAI),"AlKhawaneej Road, Etihad Mall, F07, First Floor - ",009714 - 2565550
2423,HOUSTON MEDICAL CLINIC (DUBAI),"Flat No.102 & 103, First Floor, Elite Business Center, PO Box 50224, Al Barsha 1 - Dubai, United Arab Emirates",009714 -3850603
2426,DOCTORS CLINIC (DUBAI),"Flat #206, Sultan Al Owais Bldg, Opp Baniyas Green Metro Station & Landmark Hotel Al Nasser Square, - ",009714 2246688
2427,BOSTON DIABETES & ENDOCRINE CENT(DUBAI),"Villa No. 10, Jumeirah 1, 5B Street, Dubai, UAE - ",009714 - 3805555
2428,MIRDIF CENTRE FOR PHYSIOTHERAPY & REHAB(DUBAI),"Shop #10, Uptown Mirdif, - ",009714 -2559297
2429,NEW LOTUS MEDICAL CENTRE LLC (DUBAI),"Ground Floor, Al Qusais Building 1, 251-Damascus Street, PO Box 95771, Al Qusais-1 - Dubai, United Arab Emirates",009714 -2619795
2430,LOTUS MEDICAL CENTRE LLC AL QUOZ (DUBAI),"# 101 ALROSTAMANI BUILDING , Near Al KAHIL MALL - ",009714 - 3465380
2432,ICARE OASIS BRANCH(DUBAI),"2nd Floor, Oasis Center Mall, Sheikh Zayed Road - ",009714 - 3847272
